No,Word,Frequency
1611,"sebelumnya,",4
1612,"item,",4
1613,"4,",4
1614,"basah,",4
1615,beres,4
1616,yard,4
1617,menahan,4
1618,3m,4
1619,"min,",4
1620,bungkusannya,4
1621,"pink,",4
1622,13,4
1623,dicancel,4
1624,krim,4
1625,ac,4
1626,filternya,4
1627,semprotannya,4
1628,kecil2,4
1629,balasnya,4
1630,anjing,4
1631,dimakan,4
1632,donat,4
1633,photo,4
1634,mesan,4
1635,statusnya,4
1636,"toped,",4
1637,menyesal ,4
1638,tenyata,4
1639,dilem,4
1640,mie,4
1641,kenyataanya,4
1642,menolak,4
1643,!!!!!!,4
1644,beratnya,4
1645,benyek,4
1646,"10,",4
1647,ikat,4
1648,sertakan,4
1649,agen,4
1650,follow,4
1651,mixio,4
1652,diputar,4
1653,karungnya,4
1654,"pcs,",4
1655,terkirim,4
1656,menanggapi,4
1657,kacamata,4
1658,rentan,4
1659,(saya,4
1660,arah,4
1661,magnet,4
1662,perekat,4
1663,diretur,4
1664,memaksa,4
1665,dijahit,4
1666,membaca,4
1667,dipikir,4
1668,wrna,4
1669,dirugikan,4
1670,mencet,4
1671,kejelasan,4
1672,dobel,4
1673,1/2,4
1674,deal,4
1675,tangannya,4
1676,curiga,4
1677,curang,4
1678,expirednya,4
1679,brown,4
1680,"terbuka,",4
1681,diteruskan,4
1682,"begini,",4
1683,pusing,4
1684,kantor,4
1685,terkesan,4
1686,goresan,4
1687,menulis,4
1688,daun,4
1689,tergores,4
1690,penyangga,4
1691,robek2,4
1692,sampul,4
1693,hard,4
1694,pindah,4
1695,"kotor,",4
1696,terkelupas,4
1697,periksa,4
1698,mengakibatkan,4
1699,bear,4
1700,cooker,4
1701,bautnya,4
1702,urgent,4
1703,please,4
1704,kode,4
1705,"bener,",4
1706,transpulmin,4
1707,bela,4
1708,berubah,4
1709,giliran,4
1710,fisik,4
1711,28,4
1712,menawarkan,4
1713,pasangin,4
1714,17,4
1715,pensil,4
1716,ditolak,4
1717,waspadalah,4
1718,bahaya,4
1719,after,4
1720,sales,4
1721,maret,4
1722,headphone,4
1723,korban,4
1724,ex,4
1725,embel,4
1726,keyboardnya,4
1727,mainannya,4
1728,hot,4
1729,wheels,4
1730,non,4
1731,jamuran,4
1732,date,4
1733,dimasuki,4
1734,hati-hati,4
1735,menyalahkan,4
1736,raja,4
1737,biji,4
1738,bangkai,4
1739,ditipu,4
1740,karma,4
1741,dtgnya,4
1742,uh,4
1743,22,4
1744,"jakarta,",4
1745,toleransi,4
1746,26,4
1747,shampoo,4
1748,capai,4
1749,desember,4
1750,"chat,",4
1751,email,4
1752,gulungan,4
1753,bor,4
1754,liquid,4
1755,xxl,4
1756,diresponpelajaran,4
1757,18,4
1758,plat,4
1759,l2,4
1760,r2,4
1761,"konsumen,",4
1762,tuhan,4
1763,play station,4
1764,"fungsi,",4
1765,menghubungi,4
1766,gunanya,4
1767,"dipasang,",4
1768,pngiriman,4
1769,silica,4
1770,amin ,4
1771,servicenya!,4
1772,baik????,4
1773,seru!,4
1774,haram,4
1775,tetap ,4
1776,works,3
1777,inch,3
1778,"kalinya,",3
1779,relatif,3
1780,"5,",3
1781,"kenceng,",3
1782,pengerjaan,3
1783,ya??,3
1784,kompetitif,3
1785,remi,3
1786,flashsale,3
1787,sampee,3
1788,memainkan,3
1789,dendeng,3
1790,kurmanya,3
1791,kurma,3
1792,"terbaik,",3
1793,tersegel,3
1794,tidak ada,3
1795,meriah,3
1796,kejar,3
1797,"lancar,",3
1798,okeee,3
1799,sedotannya,3
1800,pengantaran,3
1801,berbau,3
1802,instalasi,3
1803,"sini,",3
1804,abang,3
1805,"cepat,packing",3
1806,hair,3
1807,terbukti,3
1808,ke-2,3
1809,lo,3
1810,reseller,3
1811,baguspengiriman,3
1812,dicas,3
1813,"bersaing,",3
1814,qualitas,3
1815,pakingnya,3
1816,"estimasi,",3
1817,rokok,3
1818,tenang,3
1819,kebagian,3
1820,"sebenernya,",3
1821,aktivitas,3
1822,butuhkan,3
1823,koleksi,3
1824,segelnya,3
1825,"respons,",3
1826,eye,3
1827,masyaallah,3
1828,akses,3
1829,helpful,3
1830,konek,3
1831,sim,3
1832,"responnya,",3
1833,value,3
1834,cekatan,3
1835,lagi!,3
1836,"pelayanannya,",3
1837,bublewrap,3
1838,"segel,",3
1839,beruntung,3
1840,damage,3
1841,bosan,3
1842,kynya,3
1843,potong,3
1844,diread,3
1845,"buku,",3
1846,sekilas,3
1847,terkendala,3
1848,ucapan,3
1849,cerita,3
1850,"selalu,",3
1851,samping,3
1852,"cepat,,",3
1853,"cukup,",3
1854,"gede,",3
1855,sini ,3
1856,fungsional,3
1857,"alhamdulillah,",3
1858,modern,3
1859,android,3
1860,kresek-kresek,3
1861,robot,3
1862,penyot,3
1863,bass,3
1864,merekat,3
1865,kipas,3
1866,range,3
1867,batik,3
1868,favorit,3
1869,luarnya,3
1870,"ukurannya,",3
1871,chatnya,3
1872,kacamatanya,3
1873,fit,3
1874,melebihi,3
1875,suami,3
1876,elastis,3
1877,"smp,",3
1878,mengirimkan,3
1879,piyama,3
1880,grtisan,3
1881,kuota,3
1882,pakainya,3
1883,"keinginan,",3
1884,"bintang,",3
1885,ngelupas,3
1886,matras,3
1887,sample,3
1888,perut,3
1889,usahanya,3
1890,"ragu,",3
1891,ditarik,3
1892,"bahannya,",3
1893,pusat,3
1894,ulasannya,3
1895,ringlight,3
1896,pembersih,3
1897,2023,3
1898,dijemur,3
1899,ukur,3
1900,memesan,3
1901,gara-gara,3
1902,embun,3
1903,disimpan,3
1904,smartphone,3
1905,memiliki,3
1906,xiaomi,3
1907,ketahanan,3
1908,pembungkusnya,3
1909,refill,3
1910,"kerusakan,",3
1911,rekam,3
1912,jepitnya,3
1913,dpake,3
1914,menekan,3
1915,arm,3
1916,1/4,3
1917,batere,3
1918,by the way,3
1919,"cek,",3
1920,disetrika,3
1921,urusan,3
1922,kameranya,3
1923,sejenis,3
1924,rekaman,3
1925,benturan,3
1926,keren!,3
1927,lipatan,3
1928,"warnanya,",3
1929,menyesuaikan,3
1930,out,3
1931,as,3
1932,sensornya,3
1933,menemukan,3
1934,putar,3
1935,rakit,3
1936,cash,3
1937,app,3
1938,informatif,3
1939,dapatnya,3
1940,tergantung,3
1941,kilat,3
1942,radio,3
1943,topinya,3
1944,pakaian,3
1945,mudah�an,3
1946,"review,",3
1947,rela,3
1948,wajah,3
1949,kerudung,3
1950,micnya,3
1951,device,3
1952,terkait,3
1953,fiturnya,3
1954,segi,3
1955,menjual,3
1956,yamaha,3
1957,joystick,3
1958,plug,3
1959,"sameday,",3
1960,"mantep,",3
1961,amiibo,3
1962,"kardus,",3
1963,seri,3
1964,chip,3
1965,"karet,",3
1966,bawaan,3
1967,=,3
1968,solid,3
1969,package,3
1970,menyalakan,3
1971,"9,",3
1972,gantungannya,3
1973,console,3
1974,"lebih,",3
1975,membutuhkan,3
1976,"sore,",3
1977,bersedia,3
1978,keteken,3
1979,internal,3
1980,tone,3
1981,pekat,3
1982,berminyak,3
1983,"langganan,",3
1984,na,3
1985,always,3
1986,miniso,3
1987,mungil,3
1988,united,3
1989,payung,3
1990,"space,",3
1991,sikat,3
1992,ember,3
1993,dudukan,3
1994,ditempel,3
1995,thanx,3
1996,unik,3
1997,digital,3
1998,"pokoknya,",3
1999,fungsinya,3
2000,koper,3
2001,expect,3
2002,baguus,3
2003,gelnya,3
2004,first,3
2005,mengganggu,3
2006,barusan,3
2007,menunduk,3
2008,servis,3
2009,dibatalkan,3
2010,memuter,3
2011,selapis,3
2012,nano,3
2013,orbit,3
2014,call,3
2015,hubungin,3
2016,valid,3
2017,etikat,3
2018,external,3
2019,terlambat,3
2020,uno,3
2021,uangnya,3
2022,batas,3
2023,parahhh,3
2024,mengecewakan!!!!,3
2025,lagi!!!,3
2026,kecewaaa,3
2027,bulat,3
2028,"berantakan,",3
2029,enaknya,3
2030,pahit,3
2031,"sedikit,",3
2032,jumat,3
2033,menjelekkan,3
2034,toples,3
2035,2hr,3
2036,perubahan,3
2037,owner,3
2038,dikirm,3
2039,"dikembalikan,",3
2040,sialan,3
2041,direfund,3
2042,?????,3
2043,1x,3
2044,cenderung,3
2045,"payah,",3
2046,butiran,3
2047,hand,3
2048,"up,",3
2049,pembalut,3
2050,wanita,3
2051,informasi,3
2052,selesaikan,3
2053,blackpink,3
2054,"temen,",3
2055,pengecekan,3
2056,semprotan,3
2057,dipegang,3
2058,semestinya,3
2059,pegang,3
2060,keamanan,3
2061,"ready,",3
2062,warni,3
2063,tekan,3
2064,aktual,3
2065,batt,3
2066,parahhhhh,3
2067,menampak,3
2068,"rapat,",3
2069,rekat,3
2070,list,3
2071,mantap ,3
2072,diinfo,3
2073,intinya,3
2074,"wh-08,",3
2075,nasib,3
2076,karung,3
2077,mengelupas,3
2078,dos,3
2079,dkirim,3
2080,lamaaaaaa,3
2081,unitnya,3
2082,maksudnya,3
2083,",barang",3
2084,black,3
2085,buatan,3
2086,senter,3
2087,kaitan,3
2088,"merah,",3
2089,pengait,3
2090,batrai,3
2091,berbelanja,3
2092,bertahan,3
2093,aluminium,3
2094,sebentar,3
2095,elektronik,3
2096,cuma ,3
2097,komputer,3
2098,memori,3
2099,saluran,3
2100,"susah,",3
2101,redup,3
2102,bentar,3
2103,pieces,3
2104,menangis,3
2105,buram,3
2106,"berat,",3
2107,1jam,3
2108,mix,3
2109,"dong,",3
2110,"beda,",3
2111,atasan,3
2112,kebalik,3
2113,jahit,3
2114,deh??,3
2115,"teliti,",3
2116,selektif,3
2117,case,3
2118,"kasar,",3
2119,pencet,3
2120,biarkan,3
2121,dibebankan,3
2122,dent,3
2123,100%,3
2124,"bawah,",3
2125,sedikitpun,3
2126,yasudahlah,3
2127,batery,3
2128,tampilan,3
2129,semut,3
2130,ingatkan,3
2131,menaikkan,3
2132,powerbank,3
2133,chargernya,3
2134,"pemakaian,",3
2135,letak,3
2136,bassnya,3
2137,dikasihnya,3
2138,"promo,",3
2139,sampenya,3
2140,white,3
2141,raknya,3
2142,dipesen,3
2143,botolnya,3
2144,jerawat,3
2145,"aneh,",3
2146,he,3
2147,reguler,3
2148,oil,3
2149,vitamin,3
2150,promonya,3
2151,jepitan,3
2152,jemuran,3
2153,kursi,3
2154,ditunggu,3
2155,ritsleting,3
2156,aduh ,3
2157,muncul,3
2158,nilai,3
2159,bantal,3
2160,batang,3
2161,disambung,3
2162,halamannya,3
2163,sebenarnya ,3
2164,kenyamanan,3
2165,bawang,3
2166,pengirimanya,3
2167,benarkan,3
2168,wajan,3
2169,risiko,3
2170,terpisah,3
2171,lemnya,3
2172,selernya,3
2173,buck-i,3
2174,take,3
2175,mengadakan,3
2176,terhubung,3
2177,"21,",3
2178,drop,3
2179,mestinya,3
2180,pinggangnya,3
2181,negativean,3
2182,abu-abu,3
2183,nomer,3
2184,43,3
2185,",tapi",3
2186,jepit,3
2187,kemeja,3
2188,"pake,",3
2189,sekarang ,3
2190,selang,3
2191,pianika,3
2192,attitude,3
2193,kempes,3
2194,tempelan,3
2195,kids,3
2196,nutrilon,3
2197,background,3
2198,"penuh,",3
2199,mustard,3
2200,trigger,3
2201,lock,3
2202,"cement,",3
2203,"in,",3
2204,kesan,3
2205,penguncinya,3
2206,bola,3
2207,doff,3
2208,alis,3
2209,dijanjikan,3
2210,tablet,3
2211,god,3
2212,ceroboh,3
2213,pengambalian,3
2214,dialihkan,3
2215,awas,3
2216,perhatian,3
2217,rekomendasikan,3
2218,offline,3
2219,dituker,3
2220,diskusi,3
2221,dicueki,3
2222,anjurkan,3
2223,buktinya,3
2224,"jujur,",3
2225,cctv,3
2226,"2x,",3
2227,depannya,3
2228,train,3
2229,pinggirannya,3
2230,bad,3
2231,asin,3
2232,****,3
2233,gula,3
2234,pengangkutan,3
2235,minuman,3
2236,"maaf,",3
2237,"solutif,",3
2238,dituliskan,3
2239,instruksi,3
2240,lapor,3
2241,habiskan,3
2242,rating,3
2243,obatnya,3
2244,care,3
2245,"pengaruh,",3
2246,ubah,3
2247,salmon,3
2248,600,3
2249,dipercaya,3
2250,wash,3
2251,menang,3
2252,pengganti,3
2253,akun,3
2254,anehnya,3
2255,dicabut,3
2256,checkout,3
2257,"pict,",3
2258,mm,3
2259,"lengket,",3
2260,liburan,3
2261,tidak usah,3
2262,"dibeli,",3
2263,"retur,",3
2264,diajukan,3
2265,pegawai,3
2266,jne,3
2267,save,3
2268,pabrik,3
2269,ng,3
2270,sembarangan,3
2271,"habis,",3
2272,ala,3
2273,repack,3
2274,kendor,3
2275,letoy,3
2276,bersegel,3
2277,"tau,",3
2278,hrganya,3
2279,menyasar,3
2280,penerimanya,3
2281,terkena,3
2282,ikuti,3
2283,usaha,3
2284,cube,3
2285,baris,3
2286,sekat,3
2287,ditampilkan,3
2288,"kooperatif,",3
2289,dibaca,3
2290,tefal,3
2291,19,3
2292,light,3
2293,menghilangkan,3
2294,"masuk,",3
2295,tape,3
2296,lamaaa,3
2297,balas ,3
2298,"tangerang,",3
2299,hipseat,3
2300,handle,3
2301,webcam,3
2302,"bangetttt,",3
2303,mantappppp,3
2304,coklatnya,3
2305,setia,3
2306,salut,3
2307,insyaallah,3
2308,lapaknya,3
2309,ekonomis,3
2310,bengkelnya,3
2311,anabul,3
2312,??????????????????,3
2313,bulunya,3
2314,servicenya,3
2315,????????????????????????????????????????????,3
2316,banget!!!,3
2317,mantap??????,3
2318,emas,3
2319,simcard,3
2320,"on,",3
2321,ditempat,3
2322,wajib,3
2323,ditekuk,3
2324,olshop,3
2325,"wa,",3
2326,ketemu,3
2327,suka??,3
2328,gaming,3
2329,"pagi,",3
2330,rusakk,3
2331,state,3
2332,ampas,3
2333,ditanyain,3
2334,koperatif,3
2335,"instan,",3
2336,juta,3
2337,akhirat,3
2338,rutin,3
2339,lama!,3
2340,�toko,3
2341,yess,3
2342,mengubah,3
2343,september,3
2344,januari,3
2345,paten,2
2346,fine,2
2347,birunya,2
2348,silent,2
2349,^^,2
2350,pemilik,2
2351,recommended!!!,2
2352,berputar,2
2353,seru,2
2354,"tas,",2
2355,moderator,2
2356,"kartunya,",2
2357,bener-bener,2
2358,bijinya,2
2359,kue,2
2360,id,2
2361,buahnya,2
2362,enakkk,2
2363,daging,2
2364,you!,2
2365,berlapis,2
2366,1hr,2
2367,spidol,2
2368,mantap!!!,2
2369,ramahterimakasih,2
2370,isiny,2
2371,pulpen,2
2372,memuaskanterima,2
2373,belum ,2
2374,"mestinya,",2
2375,standart,2
2376,seller??,2
2377,kuncinya,2
2378,kedatangan,2
2379,okey,2
2380,"anabul,",2
2381,lot,2
2382,"sehat,",2
2383,puassss,2
2384,"gampang,",2
2385,dingin,2
2386,puass,2
2387,mengatasi,2
2388,menambah,2
2389,"sebulan,",2
2390,"cakep,",2
2391,kembang,2
2392,ulas,2
2393,menyaring,2
2394,pemasangannya,2
2395,dijawabnya,2
2396,berulang,2
2397,ponakan,2
2398,diorder,2
2399,"rasanyaa,",2
2400,"baguuuus,",2
2401,recomanded,2
2402,"tujuan,",2
2403,okkkkk,2
2404,peking,2
2405,standard,2
2406,"stock,",2
2407,adminny,2
2408,telepon genggam,2
2409,fitting,2
2410,45,2
2411,keep,2
2412,memproses,2
2413,bt21,2
2414,"thanks,",2
2415,ubs,2
2416,berbicara,2
2417,"sampainya,",2
2418,pokoknya??,2
2419,"langsung,",2
2420,sigap,2
2421,dicetak,2
2422,nfc,2
2423,express,2
2424,"korea,",2
2425,mantabh,2
2426,aktif,2
2427,dna,2
2428,eropa,2
2429,ongkosnya,2
2430,trm,2
2431,bandingkan,2
2432,"simpel,",2
2433,penuhi,2
2434,kemasanya,2
2435,pemrosesan,2
2436,tepi,2
2437,"berwarna,",2
2438,covernya,2
2439,"pengirimannya,",2
2440,blank,2
2441,disampul,2
2442,kecacatan,2
2443,koordinasi,2
2444,"bermasalah,",2
2445,overal,2
2446,"nyampe,",2
2447,"tersegel,",2
2448,dibayar,2
2449,failed,2
2450,banget!!,2
2451,aus,2
2452,"pemesanan,",2
2453,"cepat,barang",2
2454,"galon,",2
2455,mulutnya,2
2456,grip,2
2457,"coklat,",2
2458,mantaps,2
2459,lengket2,2
2460,"meriah,",2
2461,"product,",2
2462,courier,2
2463,"diharapkan,",2
2464,catat,2
2465,designya,2
2466,harinya,2
2467,cable,2
2468,perdana,2
2469,cancellation,2
2470,bass-nya,2
2471,gurih,2
2472,kencang ,2
2473,clock,2
2474,pengirimnya,2
2475,mantapppp,2
2476,solatip,2
2477,topp,2
2478,dinyalakan,2
2479,aplikasinya,2
2480,"ekpektasi,",2
2481,you????,2
2482,"it,",2
2483,dalemannya,2
2484,dibagusin,2
2485,bingkisan,2
2486,"modelnya,",2
2487,too,2
2488,lens,2
2489,jaketnya,2
2490,stylish,2
2491,",pelayanan",2
2492,dikecewakan,2
2493,:d,2
2494,kaget,2
2495,cepatterima,2
2496,"cepat,harga",2
2497,"seller,toped",2
2498,"kualitasnya,",2
2499,tipisnya,2
2500,perfect,2
2501,"sy,",2
2502,27,2
2503,mevvah,2
2504,sesui,2
2505,navy,2
2506,karat,2
2507,ovo,2
2508,sesak,2
2509,rapih??,2
2510,semurah,2
2511,"stretch,",2
2512,selller,2
2513,terawang,2
2514,repon,2
2515,khawatir,2
2516,gedean,2
2517,"respond,",2
2518,wireless,2
2519,microphone,2
2520,spec,2
2521,szsdrum,2
2522,tekstur,2
2523,sambungannya,2
2524,pegiriman,2
2525,"etalase,",2
2526,lepas2,2
2527,"baik,packing",2
2528,lahir,2
2529,"kaleng,",2
2530,"instant,",2
2531,kemas,2
2532,dikardusin,2
2533,kardusin,2
2534,"kegedean,",2
2535,disesuaikan,2
2536,"maksimal,",2
2537,"cepat,packaging",2
2538,makasiih,2
2539,tongkat,2
2540,tanda,2
2541,bermain,2
2542,"stabil,",2
2543,bobot,2
2544,compact,2
2545,cetak,2
2546,sejajar,2
2547,lurus,2
2548,okee,2
2549,gimbal,2
2550,flagship,2
2551,stabilisasi,2
2552,support,2
2553,"dilepas,",2
2554,mode,2
2555,(seperti,2
2556,tongsis,2
2557,dipaketkan,2
2558,dilakban,2
2559,"kendala,",2
2560,tengahnya,2
2561,bagus ,2
2562,ngerekam,2
2563,seret,2
2564,finishing,2
2565,base,2
2566,united kingdom,2
2567,dslr,2
2568,"sumpah,",2
2569,belasan,2
2570,ratusan,2
2571,latar,2
2572,meeting,2
2573,tidak tahu,2
2574,pemula,2
2575,bandung,2
2576,semalam,2
2577,akustik,2
2578,pos,2
2579,"boya,",2
2580,"mic,",2
2581,ngecharge,2
2582,"difoto,",2
2583,terbiasa,2
2584,lipatannya,2
2585,tembus,2
2586,bahanny,2
2587,lentur,2
2588,"kencang,",2
2589,waterproof,2
2590,kuku,2
2591,150rb,2
2592,serius,2
2593,"standar,",2
2594,lain??,2
2595,merahnya,2
2596,delay,2
2597,h-1,2
2598,lebaran,2
2599,sanggup,2
2600,mantaaaap,2
2601,besinya,2
2602,"test,",2
2603,"macet,",2
2604,printer,2
2605,"pertanyaan,",2
2606,ditrima,2
2607,penggunaannya,2
2608,kit,2
2609,batrenya,2
2610,"film,",2
2611,live,2
2612,amazon,2
2613,internet,2
2614,sejelas2nya,2
2615,ram,2
2616,mi,2
2617,oi,2
2618,"jernih,",2
2619,player,2
2620,menyediakan,2
2621,topi,2
2622,jangka,2
2623,dapur,2
2624,"polos,",2
2625,"anak,",2
2626,"ungu,",2
2627,yeay,2
2628,"bgtt,",2
2629,pet,2
2630,"bagus,sesuai",2
2631,papa,2
2632,sajadahnya,2
2633,jilbabnya,2
2634,makasii,2
2635,mac,2
2636,terdetect,2
2637,dua duanya,2
2638,firmware,2
2639,devicenya,2
2640,paginya,2
2641,fret,2
2642,capo,2
2643,gitar,2
2644,klasik,2
2645,"kayu,",2
2646,seruling,2
2647,persis,2
2648,"banget,gak",2
2649,steam,2
2650,"positive,",2
2651,feel,2
2652,asia,2
2653,reg,2
2654,"sabar,",2
2655,"jam,",2
2656,lightning,2
2657,dibantuin,2
2658,barang:,2
2659,"solid,",2
2660,dipakein,2
2661,terbuat,2
2662,"saran,",2
2663,silikon,2
2664,"bubblewrap,",2
2665,one,2
2666,20k,2
2667,"transaksi,",2
2668,gan!,2
2669,oke2,2
2670,kebantu,2
2671,disimpen,2
2672,blister,2
2673,casual,2
2674,ps2nya,2
2675,bertipe,2
2676,layarnya,2
2677,"muda,",2
2678,aksesoris,2
2679,imei,2
2680,kemenperin,2
2681,ibox,2
2682,terimkasih,2
2683,"charge,",2
2684,"sehari,",2
2685,opsi,2
2686,"gores,",2
2687,"pasang,",2
2688,bongkar,2
2689,"musik,",2
2690,100rban,2
2691,shimmer,2
2692,warm,2
2693,kombinasi,2
2694,lentik,2
2695,berdebu,2
2696,gun,2
2697,barangny,2
2698,sticker,2
2699,meresap,2
2700,"tokped,",2
2701,"koperatif,",2
2702,soho,2
2703,spesial,2
2704,bagusrespon,2
2705,"diskon,",2
2706,worthed,2
2707,secure,2
2708,"rapet,",2
2709,ketagihan,2
2710,packingannya,2
2711,banding,2
2712,dettol,2
2713,"segar,",2
2714,hidung,2
2715,mengeringkan,2
2716,piring,2
2717,sapu,2
2718,"jalan,",2
2719,syukur,2
2720,disemprot,2
2721,disetting,2
2722,"membantu,",2
2723,pesennya,2
2724,"sikat,",2
2725,tertinggal,2
2726,cooger,2
2727,menempelkan,2
2728,dinding,2
2729,perekatnya,2
2730,"baik,,",2
2731,penyimpanan,2
2732,mengambil,2
2733,dipencet,2
2734,pembungkus,2
2735,reset,2
2736,"menerawang,",2
2737,",respon",2
2738,"empuk,",2
2739,solution,2
2740,tineco,2
2741,keset,2
2742,gagangnya,2
2743,kelebihan,2
2744,"satu,",2
2745,rak,2
2746,acak,2
2747,"tidur,",2
2748,akal,2
2749,dus+bubble,2
2750,murahh,2
2751,scroll,2
2752,bantuan,2
2753,payahnya,2
2754,"official,",2
2755,150,2
2756,gb,2
2757,mb,2
2758,"helpful,",2
2759,gerai,2
2760,google,2
2761,penutup,2
2762,pelit,2
2763,mikro,2
2764,hardisk,2
2765,300rb,2
2766,mousenya,2
2767,teken,2
2768,kerjain,2
2769,items,2
2770,pakcing,2
2771,dikemasan,2
2772,ikhlas,2
2773,pod,2
2774,ayo,2
2775,gosong,2
2776,sekali�,2
2777,anaknya,2
2778,stuck,2
2779,mengembalikan,2
2780,kereta,2
2781,janjinya,2
2782,kecill,2
2783,k2,2
2784,kecewabungkus,2
2785,berhamburan,2
2786,mna�,2
2787,selese,2
2788,dimsum,2
2789,pia,2
2790,dimaklumi,2
2791,(isi,2
2792,emak,2
2793,brownis,2
2794,penyek,2
2795,harus ,2
2796,kadaluarsanya,2
2797,anter,2
2798,"botol,",2
2799,mon,2
2800,dijaga,2
2801,"malem,",2
2802,udang,2
2803,goreng,2
2804,amis,2
2805,makanannya,2
2806,gepuk,2
2807,gepuknya,2
2808,sambal,2
2809,biarpun,2
2810,php,2
2811,menandakan,2
2812,menyedihkan,2
2813,"brather,jujur",2
2814,keterangannya,2
2815,90yard,2
2816,sori,2
2817,kabar,2
2818,satpam,2
2819,ih,2
2820,"pemberitahuan,",2
2821,"atas,",2
2822,jendela,2
2823,ekpetasi,2
2824,cuek,2
2825,kasihan,2
2826,bosnya,2
2827,karyawan,2
2828,perkembangan,2
2829,oli,2
2830,gear,2
2831,underpad,2
2832,kesobek,2
2833,alot,2
2834,mempan,2
2835,pengaruh,2
2836,wood,2
2837,pellet,2
2838,"baca,",2
2839,respone,2
2840,setelah ,2
2841,"rutin,",2
2842,spot,2
2843,kutunya,2
2844,penilaian,2
2845,"kecewa,,",2
2846,diksh,2
2847,"ikan,",2
2848,wilayah,2
2849,begini ,2
2850,"buka,",2
2851,sanitizernya,2
2852,verifikasi,2
2853,bts,2
2854,co,2
2855,(karena,2
2856,event,2
2857,dikirim2,2
2858,digambarkan,2
2859,perpaduan,2
2860,muntahan,2
2861,nyong2,2
2862,"om2,",2
2863,separah,2
2864,hidungnya,2
2865,"sorry,",2
2866,nightmare,2
2867,pricey,2
2868,wak,2
2869,doyok,2
2870,really2,2
2871,"cair,",2
2872,"botolnya,",2
2873,farhampton,2
2874,tester,2
2875,testernya,2
2876,lacak,2
2877,bukan ,2
2878,lotion,2
2879,kahf,2
2880,parfumnya,2
2881,timbangan,2
2882,add,2
2883,berbyr,2
2884,mika,2
2885,cacatnya,2
2886,bereskan,2
2887,lagi�,2
2888,menginformasikan,2
2889,terlepas,2
2890,apalah,2
2891,tugas,2
2892,lalai,2
2893,chating,2
2894,senilai,2
2895,tatakan,2
2896,tangkainya,2
2897,"y,",2
2898,drat,2
2899,aliran,2
2900,pipa,2
2901,encer,2
2902,menentukan,2
2903,bareng,2
2904,saring,2
2905,kepikiran,2
2906,jaminan,2
2907,difollow,2
2908,satupun,2
2909,menyepelekan,2
2910,"mic_acc88,",2
2911,"tukar,",2
2912,mic_acc88,2
2913,kesaya,2
2914,sepatah,2
2915,25,2
2916,beras,2
2917,laminatingnya,2
2918,pinggir2,2
2919,bolongan,2
2920,menonjol,2
2921,acak2an,2
2922,laminasi,2
2923,busanya,2
2924,orange,2
2925,teh,2
2926,"dus,",2
2927,kecewaaaa,2
2928,bosku,2
2929,"bungkus,",2
2930,nilainya,2
2931,"bgtttt,",2
2932,bgtttttttttttttttttttttttttttttttttt,2
2933,"lainnya,",2
2934,keberapa,2
2935,batterynya,2
2936,dahhh,2
2937,dilempar,2
2938,bntang,2
2939,komentar,2
2940,dianggap,2
2941,kebijakan,2
2942,"cm,",2
2943,ajuin,2
2944,sial,2
2945,"mau,",2
2946,pengeras,2
2947,jagung????,2
2948,kecewaaaaaaaaaa,2
2949,mencari,2
2950,korsleting,2
2951,naikan,2
2952,al,2
2953,logo,2
2954,youtube,2
2955,file,2
2956,drive,2
2957,musik,2
2958,"headset,",2
2959,mati2,2
2960,"pertama,",2
2961,kasih ,2
2962,menjamin,2
2963,diujung,2
2964,dusty,2
2965,melar,2
2966,sandal,2
2967,seindah,2
2968,dibayangkan,2
2969,dol,2
2970,how,2
2971,lawan,2
2972,amburadul,2
2973,umur,2
2974,"muat,",2
2975,newborn,2
2976,psen,2
2977,kaitannya,2
2978,14,2
2979,direct message,2
2980,pajang,2
2981,strip,2
2982,doraemon,2
2983,tinta,2
2984,bolpen,2
2985,batalkan,2
2986,muka,2
2987,bercanda,2
2988,hubung,2
2989,lidah,2
2990,leher,2
2991,berekspektasi,2
2992,sajadah,2
2993,pinknya,2
2994,army,2
2995,tipissss,2
2996,pink�y,2
2997,"delivery,",2
2998,",,,",2
2999,atur,2
3000,effect,2
3001,1nya,2
3002,"dua,",2
3003,(deskripsi,2
3004,experience,2
3005,memorynya,2
3006,kanannya,2
3007,berbelit-belit,2
3008,maks,2
3009,baterenya,2
3010,refurbish,2
3011,rencana,2
3012,kadung,2
3013,"error,",2
3014,monitor,2
3015,rt,2
3016,aturan,2
3017,resek,2
3018,mubazir,2
3019,"prinegativei,",2
3020,"perhari,",2
3021,rusakmengecewakan,2
3022,membuktikan,2
3023,tahan?,2
3024,port,2
3025,kontroler,2
3026,disertakan,2
3027,menu,2
3028,seringkali,2
3029,solusinya,2
3030,sensor,2
3031,infokan,2
3032,konfirm,2
3033,fokus,2
3034,hang,2
3035,"baret,",2
3036,terlipat,2
3037,obengnya,2
3038,phone,2
3039,35,2
3040,nyala!,2
3041,page,2
3042,flicker/crash,2
3043,"namun,",2
3044,"rendah,",2
3045,asal2an,2
3046,"bekerja,",2
3047,volume,2
3048,sidik,2
3049,last,2
3050,1-2,2
3051,diselesaikan,2
3052,eyeliner,2
3053,"loh,",2
3054,medis,2
3055,lemon,2
3056,mengenaskan,2
3057,terbayang,2
3058,cium,2
3059,gingseng,2
