tweets,labels
klau berita posttingan si juned trus yg mnghadirin acara mas jngn pura ediot udh yg hadir acara politikus pecun,0
kapooook ga gw ketemu kumpul sm sepupu bangsaaat anjrit tipu korup aja belagu sirik dengki anjiiing lo ga lg mampus lo liat aja rmh cicil hasil nipu sampe liatin aja hahaha god never sleep,0
tokoh n capres abadi org yg gagal d laluny arti org d benci allah hny prabocor krn otakny jg bocor bocor bocor pengikutny ap lg otakny moter,0
atuh kristen jahat lo mah mampus mah neraka lo am laki lo tipu aja korup bangga najisssin bgt lo sial gw nikah sm duda tajir mapan ga undang lo catat liat aja gw dendem sm lo sepupu iblis cln huni neraka,0
abis fotocopy jilid gelontor dana juta si owner hati tawar tumpang rumah waaaah alhamdulillah,2
br goa ya lu ga tau presiden lu ancam bunuh kacung in ma bicah viral video nya ga mgkn kalo ga tau parah lu,0
adik jg tuh si lita gw ga akrab lg coz mama gw benci bgt sm maklum mama gw sodara keluarga turun saraf jd yah gitu yg jahat sial dengki sm gw emg sodara mama gw,0
kesel orang kalo duduk leseh gitu lega tp milih deketin trus niban dengkul dengkul,0
situ mo ngelacur n bayar urus cuman gasukak kalo situ salah gamo maap etapi urus situ jugak si mo sukak or ma situ,0
sbnrnya gw tau mama gw tuh si daniel aja disetujuin kl gw pingin nikah ama bule ttep bule tau liat dpn mata tp daniel kl sm gw jg numpang hidup doang woii ga deh amit turun ga deh jgn geer lo daniel gw ga milih lo gw cari duda mapan,0
kelas emerson gitu laku klo kerna kebencianya lupa klo yg diketawain nyata junjung son son gagal maning,0
jaman orba kalo lebaran gin ajak pasar beli baju yg suka ga kebel nawarnya mentok bgt ank ekonomi,4
orang ajaib sih becandaan receh gitu gue nyeletuk ngomong gitu trus tau ngakak kaget neng,2
kaga gw jg cw tolol si daniel co bule numpang hidup jkt am ce yg bs kasih mudah hidup ga deh sorry biar jelek tua gw ga sudi dimanfaatin doang,0
ngucapin happy birthday yg de nursehah smoga berkah umur rezeki sehat slalu rajin ibadah wanita kuat yg inspirasi bnyak org wish u all the best girl inisahurtiketcomharike,2
usaha tahan situasi teror sisi kaum hawa kagum paras manusia cerita bully karna kirim surat ancam kaum hawa kelas yg brbeda,4
jujur aja yah goblok gila gw hrs sadar gw pgn lingkar setan hidup byk sodara dengki n jahat sm gw ga kuat gw n utama sepupu sial cln huni neraka si lina n laki n si lita jg najiiiis lo sial,0
singkat cerita sikap die dulunya cool cuek cintad dark pendiem abis marah tb tb ubah caper humble warna karismatik play boy gt kl menrut gua pribadi sikopatnya liat,1
perasaanqu tonton orang shooting videoklip tiktok jijik gatahan ken goyang jari yawlaaaaaa kuat hati hama,4
bener bener ketawa ga habis habis gue inget aja lomba balap karung balap kelereng balap makan kerupuk balap tusuk balon hrus puter puter,2
kemarin sore customer order grabcar nasi kotak orang tua rumah alhamdulillah nasi kotak buka puasa moga rejekinya lancar ya mas cc,2
bejibun yg nanya mi gimana si x jarang bareng mi si x kek gin kek gitu ya mi si x gin si mi si x deket si y ya well si x sahabat gue arti urus si x gue tau,0
tolong harga privasi gue jelasin tu ga ngerti pikir dr sudut pandang sudut pandang gue si x sahabat gue udahlah,0
asumsi tolong bijaksana ngomong cari bukti ujung fitnah thanks for you guys yg udah ngertiin banget ga ngomong yg engga engga,0
then gue jarang si x pasuk dinamika teman yg rumit yey yg nama manusia slek slekkan nya la ya ga akur ga asik akur gue mesti jelasin k lu yg nanya ga,0
parah si mikir cewe cowo sahabat jebak cinta so please gue harga yg peduli pikir suka alas fakta yg engga engga,0
woy kafir kalo bicara mending sby soeharto mending sby udh kafir dungu lgi jaman sby gk tuh gerakn gnti presiden klo yg bagus sby,0
emak anak ya beliau wanita hebat bimbing departemen gawat darurat terima kasih emak psc dinkes kab tegal sungguh proud anak usia sekolah toodler beliau tetep stay jam konsul,2
main semak semak gapakek sendal sampe masuk hutan ular setan gapeduli menang btw inget ngga nama oldmoneygakngerasain,2
mbir udah dibilangin gada orang juang hidup gausa harap ya biar ga kecewa,4
beda banget pas sma ya tanah rantau bener bener sadar kalo gak orang bahagia gak orang tulus,4
kali ngetwit muncul friendster yg marak rajalela nakal remaja angsur angsur lebur raih cita indah thankyoutwitter harijaditwittersaya,2
iyaa kii tau aja luu emak gua ngidam d kawinin ama pmarahan charles udh keduluan d kawinin ama gua,4
suka ndak habis pikir sm orang yg ngatain musibah timpa org anggap azab tp ktk timpa golong coba ku misuh matane,0
orang kek gitu emang kasih ajar kalo kritis berani haha,0
jd oposisi era harto sby mudik jalan tol jembatan labuh yg bangun era harto sby logika pakai admin dungu bikin anjlok elektabilitas cc cc,0
hidup th hidup hambalang hidup ektp hidup pln mangkrak korupsi,0
kerja nongkrong buka d kasih acar masuk kasih yg worth it budget segitu gamau alesan gajadi puki,0
hehe yamungkin emang ngga karna udah kek thanos beneran batu cincin makasih looo udah diucapin sahur,2
oldmoneygangerasain kalo tlp pake hp detik krn sblm detik msh gratis detik kena pulsa tut tut halooo dmn matiin tlp tut tut angkat tlp drmh matiin tlp trus aja sampe eneg,2
iyaa udh pgn tp dr kmrn malemnya kyk kurg enak badan pilek batuk ehh ktrusan samp sore jd gak enak prgi pgn halal bi halal ath ntr yuukkk,4
gua kelas sd bawa hp karna hubungin mama tau tau colong temen gua diem aja bego emg bibi kantin ngabarin nyokap gua lgsg mama trs bapa maaf eh anak pindah sklh ya,4
asa sesak terima undang nikah mantan mantan saing mantan gebetan mantan pacar manatan teman mantan mantan,4
gue lampung ki wheeewww nadia sidang ajee selamaad yaa kabar kaka satria udahan blom,2
kelas tertawa yandi nyeletuk bilang anak sd lu mah hahahaha orang anggap yandi guyon,2
abis jengukin temen yg sakit parah terenyuh nya ga takut sakit takut ramadhan ga dapet berkah ya allah mohon doa sembuh temen kantor tb adriana pramudya bin tb dasep,4
rupiah jatuh anjlok ramai salah nyalahkan perintah gilirah rupiah kuat mingkem anggota dpr salah nyalahkan polisi pas bom ledak salah perintah gituajaterus gue sekjend pbb,0
diucapin happy birthday heran gua udah nyata dasar kalender hijriyah ramadhan h gua lahir ok i accept that,2
qu sudi koh disable instagram karna nyampah explore anak balita diajarin tiktok,4
gak jelasin bang biarin aje yg cari berita udah jelasin gimane kronologis nye orang bantul nye emang aje otak nye yg pade lola,0
hahah wifi dy enak yg uda kerja mah ngisi kerja kabar nganggur pas libur,4
temen turned out being asshole kalo cewe ukhti hijrah kalo cowo abdi negara statement ku sosmed sangkal orang kek gitu parah kalo pacar bangsat,0
ga aminin doa lu ga mustajab kayak orang umroh niat politik ga qobul lu dngn kampanye teriak takbir sang cipta nyoblos mikir,0
oldmoneygakngerasain pasang raut pensil yg cermin sepatu ngintipin celana temen sekolah cewek,2
buah bukti indonesia orang gubernur cerdas moral bodoh dongok,0
pulsa cepat habis yaa gatau senyum hati karna hasil download game waptrick oldmoneygakngerasain,2
tangkepin polisi ga yg nolongin kasihan ya sih jamaah nya yg bloon tipu pake ayat al qur an jual beli ayat syahwat kuasa,0
sma tuh ken banget nama awat klinik cantik macem erha natasha gitu gitu deh mama bener larang banget suka dimarahin gt kalo ngrengek awat,4
jual beli rubicon hummer lumayan aset modal nyapres beli tanah yg luas juang gera jamaah gitu gitu aja cari kerja malak thr orang cina hadeuh guwoblok,0
tapiii efek muka tipe muka less problem gt hehe kalo jerawat pas pms doang kalo lg breakout ilangnya cepet cm dibiarin doang ga minyak,2
hmmm ya neng kalo kasih kado kalo inget aja tanggal lahir anniv wes bahagia rasane pekaitupenting,2
juang wujud angan ku nyata terimakasih sayang karen menang menang i love u so much,3
trus yg slh beliau sdh mngatakn isi hati sedih kalo impor yg presiden negara jkw dn sy mikir woi,0
tuhkan apple tuh kalo kasih update ga tanggung tanggung hp jadul update ngga kaya android udah ditinggalin,2
lucu sih pasang yg tukeran pass ig komitmen yg embel percaya pasang tukang selingkuh haha ciyaaaaan,4
nang mewek gak karuan gegara galau pulang gue mutusin tuk gak pulang kasihan emak ayah gue mudik mahal cooy,4
gaes mosok anak bawa bawa politik ga cenderung benci fitnah mohon ceck,0
sih rhia temenya cowok biar biar gak tikung biar gak omongin biar jagain biar gak nyinyirin biar jemput main hahaha,2
pola tidur w beranta yawlaaaa minggu yg ampe bener merem abis sahur dah j set musti bangun kerja,4
zaman sd temenku cowok nih salah suka main sampe desa seba nyebarang kali wkk suka bikin prakarya berantakin rumah sampe jual lotre yak wkk pen ngaqaq inget,2
congrats for me walopun ga aktif bgt tp dedikasi twitter krn bangtan bnyk yg ubah dr wkt kw wkt wow mytwitteranniversary,2
dear coba d tb sy dpt sms kaya yg sampe minus k sy kaget bangun nyalain hp langsung d palakin gitu makasih ya,0
gw maklumin aja omong mommy gw emang ga setujuin gw sampe suka demen co umur beda yah cari duda mapan umur aja,4
bupati purbalingga jawa tasdi pecat pdi juang pecat nyaleg bebas aneh bin ajaib,0
hadiah aja khayru ummah perintah suruh yg ma ruf cegah yg munkar ogah ken kenyang ogah makan,0
gin aja terooss template gw ga butuh template pesan gw dr tgl mei gw cm suruh tunggu tp ga spt cm jkt tng lho mo bilang jwabnya sabar ya kak ujia,0
mimpin bupati tasik aja gak gubernur aduh kang tuh kabupaten tasik oge pr akang masyarakat tidap puas kerja akang ken gubernur cing atuh mikil,0
coba jabat yg laku indonesia segani bangsa bangsa yg segani indonesia,0
yg langgar bawaslu lawan politik nya beliau ah terjun aja tuh image beliau d masyarakat,0
perilaku cundang buron pny kasar intoleran anti pancasila ya sambang emang sdh anggap gak ulama yg negara,0
dasar ngakaknya baca koq ayat gua aja ngapain marah ateis geli gua sembah charles darwin teori tahayul konyol,0
manusia kaya gin bikin negara aja kali ya kloning jd biar ngerasain enak ngga ngadepin yg gamau terima masuk alas orang,0
bukti numpuk deflasi berani lihat munir bukti lihat udin bukti singkir hilang sengaja,0
klo dicandid cew nonton uda heboh karaoke massal pakai botol air mineral bak nyanyi profesional keren totalitas mbak,2
org wajib penjara wajib lapor org pecah belah,0
isu kristen dgn isu bangkit pki data minim fakta oembingkaian kuar konteks isu yg bangkit hantu untung politis ekonomis,0
makna hubung butuh mgkn ajar don t be needy kalo cewe pacar lo prioritas pacar lo hidup elo,0
gimana kejar pas tidur lo maksain dateng kosan pas tidur lo cubit cubitin ganggu gangguin ky gt malem mesti anter lo pagi nya si cowo bablas,0
uang langkah nya nasabah milik problem loh tolong bank mandiri utama kantor cabang sabang jakarta pusat,0
isu kristen dgn isu bangkit pki data minim fakta bingkai konteks isu yg bangkit hantu untung politis ekonomis tahyul bahlul,0
kasi fh bangun pagi tdk kerja kantor pks tdk terimah tdk info kawan pks kawan bedah partai perintah tdk partai kasih yah kampung,4
indikasi banteng adu kepala jengkang kapar semaput lawan banteng tinggal kenang,0
cilacap cinta gagal purbalingga pura bahagia lihat ber keluarga semarang rindu orang sayang cilandak cinta dadak makan sari roti saking rindu robek hati ceritahariini,4
nona takut gerimis ku rumah teduh barangkali ubah hujan angin ceritakemarinsore spoiler,3
life style ubah gaya hidup pola makan utama santai jalan bunuh sadar konyol mayoritas gak peduli sakit desperate nyalahin genetik faktor x,4
percaya lelaki utama mati siksa zaman mati kunjung lupa tuhan iya lupa,4
twitter kemaren retweet gabisa nge tweet kalo nge tweet not responding mulu excessive use perhaps lol yeay,2
ya ga sih serius ya gitu ketemu ketemu lalma kena modus too sensitive gitu,4
coba transfer atm bbri a c bri bbmr lha gagal atm bri telo malu ya satelit malu banget gimana nya,0
yaelah sabar ya vid lebaran monyet engga ditanggapin cepat kalo engga serang follow up tajam langsung plasa telkom telepon alam banget telkom,0
selamat leta batu pmbangunan univ islam internasional indonesia uiii smoga islam indonesia yg damai toleran mnjadi rujuk islam dunia kelak cc menag,2
tanggung tinggal dr ramona sari jawat aktivis salah juang tangguh hak sehat seksual reproduksi perempuan indonesia moga maha kenan peluk pulang tuhan tuhan ambil,4
nelfon cs suruh tunggu lapor menit and still go on kabar cs suruh tunggu ngapain banget aneh,0
tanam turus samping sandar,4
bagus ateis murid mumun sembah teori darwin konyol tahayul selamat ya,2
childish alias kekanakkanakan bego yg overacting ajar undang jabat malu tanggap nyata sandiaga uno pakde karwo kritik saran jabat negara mendagri https,0
pesan masuk udah sexual harrasement sih gak bilang aja budaya paham patriark nya liat gak coba laku saudari temen pacar ttp semangat gita via,4
dr minggu kmrn sebal eh hri janji jam eh jek antri nang bri iki piye to ku kesel deeh,0
sok juang via vallen aset bangsa sisa rebut bangsa diam oldmoneygakngerasain,0
ras banding lurus govlox anti pancasila govlok yg ras ganti presiden silah kl dukung anti pancasila negara hias rasisme kegovlokan mongooo ga,0
cc ko mingkem minggu bupati pdip kena ott kpk juara korupsi,0
moga pa sadar bupati purbalingga pdip kena ott kpk warganet allah mahfud partai lahir koruptor,4
negara dunia yg pendam liberalisme afganistan pakistan iran masuk negara maju ga negara yg khilafah,0
sy tdk percaya ktp krn sy tdk percaya anggar e ktp korupsi anggota dewan yg hormat pura pura,0
pohon plastik tong sampah ndak yg tarik perhati perhati sampah nyari konten status nyinyir gak sumbangsih thdp bersih mudah jari status nyinyir banding dgn niat nyata hidup batas kuota,0
kali pakai fasilitas laboratorium kampus bayar kalo uang bayar semster masuk doain buruk nih,0
hidup kejam anggap hidup tarung arena saing berfikir layak tani hidup ya cocok tanam harap takut,1
cepet banget pesan langsung terima kasih ya mas koleksi pustaka fakultas psikologi univ pancasila,2
dokter gigi sih klo makan belah doang kiri ajah kanan ajah dislokasi gitu rahang tp konsisten nya dok,4
well common logic indonesia perempuan yg salah coba kalo nggk bla bla bla salah laku korban logcial fallacy,0
bule persepsi normal bule bebas ngapain aja gitu ku kasar kasar,0
pasang yg mak cret kayak gitu mikir jihad layan dgn aja kalo ngga neng dgn kerja kejar passion mu ngga nyinyir org mulu,0
anjiir via vallen digituin sm nih org casually cm blg are u angry hmm emang kaya gitu sih orang utama negara eropa,0
bule persepsi normal gw niat leceh pikir yg bikin orang indonesia remeh bule orang tipe klo bule foto ku kasar kasar,0
huhu iyaaa mikir keras banget ku jg ga dapet hasil yg sreg bab tuh jum at tuh uprak studi islam pagi bisaaa,1
lho yg kir hati tega buang sampah plastik sembarang males pakai plastik kresek plastik kemas bijakberplastik,4
iya yg diskrinsut mba boo neto hasil temu org modal gambar lengan wkwk iya sih mba kaya gitu ga pantes becandaan,4
iya mba netijen ig horor main frontal ga cocok dikit bully pokok ga paham dosa banget,1
via vallen leceh seksual via dm instagram main sepakbola asing klub lokal netizen blame the victim again sedih cewe cewe nyalahin,4
layan cs bri surabaya pahlawan jam urut jalan nomor nomor kosong arti layan orang jam,0
informasi giat dana desa kirim hastag mantion,0
bismillah happy bday kak wuatb gbu smga limpah berkah rezeki bahagia umur manfaat sukses dunia akhirat moga cita nya capai bangga ortu nusa negara agama aamiin btw dom kak,2
jatuh cinta kenal tipe kau peduli fisik isi kepala kau jantung debar kencang,3
cewek cewek kalo bikin instastory suara cakep bgttt alus gitu ye kalah manis gula mah w dengerin suara aja kek tikus jepit annoying bgt suara qu wkwkwk,4
gila ya perempuan pikir nyinyirin lho korban sexual harassment ga berani speak up bunuh,0
kosong sosial dunia nyata gw ekspresi beda dunia maya dikenalin mig adek langsung nyetem orang ramah,2
gak asa puasa sdh sbtr lebaran sedih krn ramadhan tinggal happy krn sbtr lebaran kumpul bareng keluarga maaf kmbli fitrah smg temu ramadhan h amin,2
main artificial neural network emang ngeri sedap stressfull akurasi uji ubah parameter tetep jelek ngira fail karna data rusak nyata hidden layer nya,1
cerita unik provide pesan kasih special service yg deket gausah bayar ongkir gilir ongkir gratis sen semena mena bolak nganter around kali yg sen orgnya jg divisi yg mbuh,0
ilcbpip prof suteki klo bpip orang yg gk paham pancasila akhirat ramal ck ck politik balas budi nihh,0
sakit gigi sakit hati bareng kayak bilang terima kasih loh tuhan kasih langka,4
ya gin nih klo siluman bukber foto kaga bener uda sono ditungguin sampe diliatin orang antre tetep aja anteng ngobrol ketawa ngakak nih teman jastip terbhaiqq,2
mobil blm smp rmh ujung gang pulang malam dr kota tidur ayah bangun tp gendong rmh smp sd,3
libur tgl masuk tgl dpt data tgl klo selesai lapor tgl trus ngerjainnya adek sedih bang adek ga isa diginiin adek ajar kuat ma bang dylan,4
astaghfirullah jalur manggarai jatinegara nyata aja petjun liar puasa sing sabar shayy sing tahan subhanallah dehh aja setop cape gembyor trs huft,1
terima kaaih kwik pikir sy pribadi trm ksh sdh d pd forum bgitu jg y dg yg d sampaikn sarumpait,2
potong pepaya leci blueberry bikin overnight oatmeal madu sehat makan aja fatamorganaaaaaaa,2
gin ya lacur gak wenang laki laki ngelecehin orang lacur lacur gak gratis consent belah this is why the worst enemy of feminim is women itself,0
idola khilaf lebay si artis sexual harrasement dijadiin komentar canda anggap aja ah moga orang kenal laku sadar,0
ya kompensasi langgan dg kondisi layan speed jaring lot wajib tagih bayar,0
happy dadar hbs kerja yg kantor aja ya yg turun lapang panas panas takut item,2
sebel banget deh kalo senior kerja kek gin teh tauuuuuuuu teiung bom selesai nanya loh udah untung ga pegang pisau,0
kagak sih kali ku tugas uji yangbeb soalny kalo ga yg mah kayak wikipedia jalan mua tau mah atuh,2
alhamdulillah persib menang hati happy tidur tenang mvp malam yg ngebolehin nonton persib nge chat susah komunikasi gara sibuk ade bedur,2
kali liat kasur selimut nggak goda goda baring lantai kipas majalaya emang beda benua bandung,4
iyaaa kaaaann pesantren giat tu kesan sampe skg esq sampe malem banget tp tar pas muhasabah melek lg trus jd sedih kangen org tua,4
alhamdullilah point tandang terima kasih sehat nuhun badag dukung maung bandung resfect persibday,2
ganti presiden tp gak presiden cm preseden sadar bro klo ganti presiden pks nti fahri yg ganti,0
berat rindu dil ngerjain skripsi alam psikologi bilang tema judul ambil cocok alam pribadi iya sih,4
sukadeh temen yg ngetweet konten wawas dunia nyata share ilmu nyinyir kritik manfaat kalo nyambung ngomongnya ga cm bahas lamtur lipen aja,2
gue gak gitasav ngomong sexual harassment nya bales dm nya helm she s rude,0
h biar pilih paksa bahagia ganggu berhappylah orang kau cinta selasa juni berjan gebang purworejo wib,4
lulus sujud syukur langsung ambil bunga langsung peluk cium air mata kuasa bendung mom this is my birthday present for u,2
gurl cma gara publishing chat sexual harassment yg lu alay caper baper lu sampe bawa are u fvcking kidding me pantes aja indonesia org yg ngalami leceh seksual pilih diam aja ya gmna netizen lu,0
ayah skrg kerja pindah pindah kota rantau pulang makassar ayah pulang tp ketemu mnlpon ajak makan tolak dgn alas pergi tm,4
tolong nih gimana ya kemarin beli flash sale udah bayar dikabarin stocknya abis emang kalo jual ngga ngecek stock,0
mati lampu rumah uda ky kuat an ga kamar nyalain saklar wq sumuk aseli liga la familia yg ga betah panas kudu turun nyalain saklar gelap an,4
yaudah kalo emang berani potong rambut pendek ya aja kalo emang udah nyaman selamat istirahat lupa doa tidur yg nyenyak mimpi yg indah good night cit,1
lulus sastra inggris yg ngomong bahasa inggris curiga curious yg bener suspicious uda untung gw ga ngomong delicious yaallah s s gw,4
habis baca cerita yg cerita hidup rumah tangga wanita yg sakit ketidakberdayaan orang laki si laki dilema hati nurani juang istri,4
udah ah tetep ariel tatum idolaquh betapa netijen lelaki doi stay calmdown nama public figure mah kudu setrong ya mbak ariel,2
bangun tidur langsung suruh pergi suruh mandi nyampe ashar ya bayangin aja bangun aja jam,4
wanita dgn mudah tdk butuh tampan butuh nyaman pria pikir keras hidup cuk gak tampan nyaman hah hah hah wtf bullshit hee relationshit,0
jenis rindu tp udah beda dunia rindu tp udah ga arepin lg rindu tp gengsi rindu tp rindu tp apaaa cinta bukti tahan cintaa,4
kaya gw mantengin asi food channel ngliatin makan sodap ehhh makan indomie ngemil krupuk gegara malas kos,4
si laki tawar poligami aja adil hati istri laku adil utama suami istri pisah suami gamau pisah si istri tindas,4
eh gimanasi dapet thr enak ga semriwing gitu nga sik ceritain dikit gimana idup taon dapet thr,4
besok mamak telpon kemaren bandel kali udah hujan lebat maksa kota rapat yg gak tinggal udah demam kayak gin tau aaah ya allah,4
ngeriiiih bang takut d lepet dri doi type ya lekong pilipin,1
gasuka sih gondok dongkol mangkel aja kaget meniqaaa moga insyafmu ga abal abal ya mas ha ha ha moga udah alim beneran inget ga ya ttg habluminallah habluminannas ga niat maaf wanita yg sakit gt,0
mual krn telat bukaaa puasaa nyampe rumah jg ampir jam keliling abang grab keliling kampung krn ga tol,4
kadang capek nahan hati gak blaming ngatain super bodoh mental tempe risol asa goreng yg ampas ampas gitu gak gimanapun udah kerja keras usaha,4
cerita yg baca jujur sebel banget baca sih udah poligami siksa batin emang udah gabisa adil dilepasin aja mbak istri mending pisah aja mbak hidup free as a bird kadang gengsi kalah hati,0
langit sinar bintang terang ribu pilih paham hilang,4
klo org nanya deket gasih km abgmu boro boro deket kelai mulu iya sangking gak deketnya akur wkt kuliah suruh rumah brg antem yg main fisik,4
ulang jaman kuliah teman yg ajak beda jarak izin,4
udah pejaten villagenya aja eh mobil mobil masuk mall nya nyata ribet ngantri ular sampe macet numpuk sial,0
nikmat denyut jantung hirup nafas perlahan sadar mata buka tutup nikmat renung tutup mata helai nafas senyum tubuh layang lepas nikmat nya,2
sumpahya ngeliat blekping jd ken rambut hikz sampe rambut w ga kayak heeeft,4
gue temen yg bela bain pinjem duwit kantor nyawer thr pinjem utang gengsi keponakan paman tante saudara nya,4
otak kalo bego posisi gelar bego hrsnya otak isi ilmu isi maaf tai,0
liat temen temen lulus nang haru neng aja liat orang orang lewatin fase sulit hidup lengkap pake rintang uniq bgt maaf yah temen yg pas sidang ditangisin trus bilang gue sedih tinggal klean,2
lu orang pas ngentot sadar dikeluarin dalem pas enak enak sempet gtu mikir dalem ya anjir gua darah,0
ya gin yg takut layan nya ambil orang heiii layan tuhan sapa yg tuhan percaya aneh pake main fitnah jatuh orang ya,0
mbah sya heran prof kyai buya rok siembok sekolah tulis artikel muat jasa siembok hadap negara,0
sebenernya badan sehat bawa makam susah keringet dingin pagi bawa sehat d bawel acha karna janji udh udh toilet x tahan kalo gk tahan hmmm,4
sampe rumah masuk dijudesin bokap bilang gin kayak artis ya gw bingung ngapa asa brgkt cuman beda plus gincu arab an karna emg ganiat fyi gincu arab ga menor samsek kek natural gt gw ngaca ajg gw menor bgt,4
gw inget mampir watsons nama cewe ya gatel liat mekap trs nyoba tester yg coba bedak lipstik blush on ya gw menor kayak badut pas watsonsnya kayak aja pas udh kena cahaya rumah menor bgt kek mangkal,4
nisanya cimit cimit gak ngerti arti effort klean semuah membuatkuh bangga lulus skrng pen bgt sembur pake jampe jampe jaga semangat juang badai hidup,2
kerja ob sekolah yg yayasan an maaan kalo lihat golong yg wajib dapet zakat aja tipis masuk ga gitu,4
sebenernya badan sehat bawa makan susah keringet dingin pagi bawa sehat d bawel acha karna janji udh udh toilet x tahan kalo gk tahan hmmm,4
aja manusia nggak ngerti posisi si panitia enak ganti gegara maksimal nongkrong jam jam ebuset wkakaka,0
pas aktip ig twitter lari pas lbh cuit ig mall dangkal butuh hingar pasar,4
dasar netizen ymc kek disalahin swing disalahin jugaaa bener bener akuuu istri sah nya woojin,0
orang pergi salam pergi tinggal tinggal wajar hidup simpul ikat ikat abadi dunia dunia,4
suka skinship ama pacar peluk cium nangkring paha duduk pangku ya gitu deh wkwkw klo ama temen cwek canggung nyahah,2
berita alhamdulillah kim kai buka instagram sempet soel pas akun amteun welcome back mr ato kaioninstagram also goodnite wangjanim,2
lupa taun brp coba main ask fm ngga nyerah putus ngga makasih ngga sosmed thanks,4
oh gin pepet kejar orang malem gin lumayan bikin senam jantung kejar kejar ngebut bgt dadak pelan pas bangjo nungguin ngeliatin mulu nunggu lampu ijo lurus dadak sein kanan amaaaaan,1
eike bilang mah pusing gak ilang ilang ya mama singkat padat kir iris hati ya gendut pusing sakit yg dlm mama hubungin efek lemon montok kepunjulen masuk kecetit gatel,4
terkadang duli motivasi bikin sakit hati sekira nya ga nerimain mah oke serah udah kecewa bodo serius atur,4
bikin negara rugi bikin dukung pontang panting bikin bantu habis akal bikin investor mikir kali bikin tukang make up blunder orang lemah dipertahanin why oh why,0
kangen mama temen yg ditemeni mama ortu untung sayang mrk selagi msh,4
ngerasa gagal orang kakak ga ngerti gimana orangtua senyum canda ketawa hati nya perih,4
keram betis akibat mandi jam umur lu udah tua mel gagah aja gitu abis emak sih asa sekolah aja gitu,4
cemooh orang harga harga balap utama senior,0
konten ask fm seru an aja temen ngga yg bau seks jawabin yg normal aja yg mention kayak gitu ya sedih akutu,4
hidup dedikasi contoh rela kubur mimpi juang cita cita nya sayang sulit hidup,3
nyata kalah buah rebut hasil rebut tim lawan telat pencet bel hilang fokus puluh poin layang tim lawan hukum gagal laju babak final,4
tanding seno keras cuek memyambut hangat tanding hebat kali tim provinsi babak bangga,2
hidup dedikasi contoh rela kubur mimpi juang cita cita nya sulit hidup,3
nyuruh ignore tp sibuk ngurusin haha perempuan ngejatuhin moga mbak sehat ya,4
kontol lihat jelek kerut dr twittermu real life ga yg ajak ngewe ya liat mas kalo dapet dm gin kesel marah gak kalo kesel brrt nasib sm mba valen,0
gua doang yg ngakak nonton sma ali mochtar ngabalin hahaaa simpul wkwkk bang karni ilcbpip,2
pikir ikhlas sadar ikhlas,4
bokap nyokap gue ga ngasih thr gitu anak sedia snack coklat bungkus gitu halloween amrik gitu,2
bahagia beli paket segiga nyata habis limagiga lancar internetan mayanlah wkwk eh alhamdulillah,2
sadar kadang sulit ikhlas yg usaha maksimal orang hasil,4
ya nasib thn eh thn nggak lebaran rumah plus lebaran bayang lebaran rumah nyata lebaran kantor nasib alhamdulillah,4
ya ngga kuat ngerasa jijik udah digituin milih tutup akun marah banget cuman ngomel temen deket singgung tp resiko pake ask fm anon mbacot sakarepe,0
ya gagal orang kakak bimbing adik alam hidup orang motivasi hasil bangkit kuat salah salah,4
hidup dedikasi contoh rela kubur mimpi juang cita cita nya kelak sulit hidup,3
sadar orang bus kemarin tuju istana ajak nal beda dgn coba pikir gugur nikmat jalan kemarin,4
klikbca seringkali susah maksud masuk skrg internet bilang omong kosong krn ga buka website,0
fuck u lol loe jatuhin agnezmo ha ha,0
asli pontianak tinggal semarang kak i m a big fan of small towns and old shop neng bgt karna bandung diary heehehe,2
neng neng nonton foreign filmatau film film non hollywood nyata emang film film asing ga kalah bagus storyline cinematography visual effects dsbnya bener bener anti mainstream,2
serah org ngatain msh malaikat kirim hidup,3
jd lapor yg tulis institusi internasional tuh padat isi tp nyata ga jg ya coy isi jg ngaco ga logis data bener tp tafsir engga,4
vote serba graris haloo pikir bangtan ngadain asupan gak butuh duit serba gratis bangtan lo kasih makan,0
nama leceh tetep leceh beda takar ukur balikin person nya general leceh sentuh fisik,0
jg masuk kak jgn orang nitijen masuk dr bukber in this economy,0
lom lg negara ga transparan informasi bikin njlimet ae hidup orang misqin nih jurnal bayar dihack jurnal jahat adek bang,0
nama fitnah mbak g bukti ko fitnah org korupsi mbk dunia laku sistem tabur tuai mgkin tutup keburu dg fitnah org tau smua korupsi n kerja selubung,0
uda thr an coba kl lg mkn warung not resto yg tip ketemu layan nya tua n liat kasi selipin rb kmu liat reaksi luarbiasa asa bahagia super rb ga bikij miskin tp arti bnyk utk,2
gak mbak yg hobi carmuk sok pahlawan kebengenan serah dah serah jatuh tau smua keburu tdk ngurusin urus biar tuhan terima balas,0
rangorang sok suci sok tau gitu hidup inti gin kalo bom nyebur got ga tau dalem got kek gimana aja kalo ga kenal orang beda ya sok tau,0
inti cari temen mah pilih gitu buruk dideketin biar tau oh gin oh gitu kalo tau buruk cuman mah gausah sosialisasi aja kamar ae diem garuk jembut doang,0
motivasi gitu ken awas milu bener awas tps suara sampe curang pilkada tmarahang rawan banget yah calon tunggal gitu,1
dearest terimakasih sedia mute msh org yg anin cari kali butuh sehat murah rezeki ayo semangat garap ensenang your ahead luvvv,2
